,POSITION,HEIGHT,WEIGHT,PLAYER,AGE,Injury Status
1130,RW,73,192,Senyshyn Zach,22,Not Injured
1131,D,75,215,Sergachev Mikhail,21,Not Injured
1132,D,74,205,Severson Damon,24,Not Injured
1133,D,72,206,Shattenkirk Kevin,30,Injured
1134,RW,71,182,Shaw Andrew,27,Injured
1135,RW,75,208,Shaw Logan,26,Not Injured
1136,C,75,214,Sheahan Riley,27,Not Injured
1137,LW,68,175,Sheary Conor,27,Injured
1138,RW,72,194,Sherwood Kiefer,24,Not Injured
1139,RW,73,202,Sherwood Kole,22,Not Injured
1140,C,73,205,Shore Devin,24,Injured
1141,C,73,195,Shore Nick,26,Not Injured
1142,D,75,206,Siegenthaler Jonas,22,Not Injured
1143,D,75,210,Siemens Duncan,25,Not Injured
1144,C,71,158,Sikura Dylan,24,Not Injured
1145,RW,73,204,Silfverberg Jakob,28,Injured
1146,D,71,200,Simek Radim,26,Not Injured
1147,RW,74,185,Simmonds Wayne,30,Not Injured
1148,C,71,190,Simon Dominik,24,Injured
1149,D,74,205,Simpson Dillon,26,Not Injured
1150,C,73,200,Sissons Colton,25,Injured
1151,LW,71,200,Skinner Jeff,27,Not Injured
1152,D,75,214,Skjei Brady,25,Injured
1153,D,71,181,Sklenicka David,22,Not Injured
1154,D,75,207,Slavin Jaccob,25,Not Injured
1155,RW,74,221,Slepyshev Anton,25,Not Injured
1156,D,74,195,Smith Brendan,30,Injured
1157,LW,71,181,Smith C.J.,24,Not Injured
1158,RW,73,208,Smith Craig,29,Injured
1159,C,70,190,Smith Gemel,25,Not Injured
1160,G,72,178,Smith Jeremy,30,Not Injured
1161,G,77,220,Smith Mike,37,Not Injured
1162,RW,72,185,Smith Reilly,28,Not Injured
1163,LW,74,208,Smith Zack,31,Injured
1164,RW,72,223,Smith-Pelly Devante,27,Not Injured
1165,LW,70,184,Sobotka Vladimir,32,Injured
1166,C,75,210,Soderberg Carl,33,Not Injured
1167,C,73,181,Somppi Otto,21,Not Injured
1168,LW,71,175,Sorensen Marcus,27,Injured
1169,RW,71,185,Soshnikov Nikita,25,Injured
1170,D,78,243,Sosunov Oleg,21,Not Injured
1171,D,77,208,Soucy Carson,24,Not Injured
1172,C,71,172,Soy Tyler,22,Not Injured
1173,G,75,201,Sparks Garret,26,Injured
1174,D,74,203,Spencer Matt,22,Not Injured
1175,C,75,215,Spezza Jason,36,Not Injured
1176,C,71,191,Spooner Ryan,27,Injured
1177,RW,72,180,Sprong Daniel,22,Not Injured
1178,D,76,205,Sproul Ryan,26,Not Injured
1179,D,69,167,Spurgeon Jared,29,Not Injured
1180,C,76,207,Staal Eric,34,Not Injured
1181,C,76,220,Staal Jordan,30,Injured
1182,D,76,213,Staal Marc,32,Injured
1183,RW,74,215,Stafford Drew,33,Injured
1184,C,73,195,Stajan Matt,35,Not Injured
1185,G,72,198,Stalock Alex,31,Not Injured
1186,C,73,194,Stamkos Steven,29,Not Injured
1187,D,79,231,Stanley Logan,21,Not Injured
1188,G,77,195,Starrett Shane,24,Not Injured
1189,C,72,193,Stastny Paul,33,Injured
1190,D,70,186,Stecher Troy,25,Injured
1191,C,72,180,Steel Sam,21,Not Injured
1192,LW,72,211,Steen Alexander,35,Not Injured
1193,RW,71,195,Stempniak Lee,36,Not Injured
1194,C,76,210,Stenlund Kevin,22,Not Injured
1195,C,72,196,Stepan Derek,29,Injured
1196,D,74,199,Stephens Devante,22,Not Injured
1197,C,72,203,Stephenson Chandler,25,Not Injured
1198,C,74,204,Stevens John,25,Not Injured
1199,RW,74,242,Stewart Chris,31,Not Injured
1200,D,74,195,Stillman Riley,21,Not Injured
1201,G,78,210,Stolarz Anthony,25,Injured
1202,RW,76,219,Stone Mark,27,Not Injured
1203,D,75,210,Stone Michael,29,Injured
1204,D,76,216,Stoner Clayton,34,Not Injured
1205,C,72,177,Stotts Riley,19,Not Injured
1206,D,71,190,Stralman Anton,32,Injured
1207,C,71,200,Street Ben,32,Not Injured
1208,C,75,200,Strome Dylan,22,Not Injured
1209,C,73,194,Strome Ryan,25,Not Injured
1210,RW,72,165,Studenic Marian,20,Not Injured
1211,C,73,171,Studnicka Jack,20,Not Injured
1212,G,74,200,Subban Malcolm,25,Not Injured
1213,D,72,210,Subban P.K.,30,Injured
1214,D,74,207,Sulak Libor,25,Not Injured
1215,C,75,209,Sundqvist Oskar,25,Injured
1216,C,72,180,Suomela Antti,25,Not Injured
1217,D,79,220,Sustr Andrej,28,Not Injured
1218,D,74,208,Suter Ryan,34,Not Injured
1219,C,75,190,Sutter Brandon,30,Injured
1220,RW,74,195,Svechnikov Andrei,19,Not Injured
1221,LW,74,199,Svechnikov Evgeny,22,Not Injured
1222,G,75,192,Svoboda Miroslav,24,Not Injured
1223,RW,71,200,Szwarz Jordan,28,Not Injured
1224,G,76,196,Talbot Cam,32,Not Injured
1225,LW,70,176,Tammela Jonne,21,Not Injured
1226,LW,72,180,Tanev Brandon,27,Injured
1227,D,74,197,Tanev Christopher,29,Not Injured
1228,LW,76,221,Tangradi Eric,30,Not Injured
1229,D,70,182,Taormina Matt,32,Not Injured
1230,RW,72,225,Tarasenko Vladimir,27,Injured
1231,LW,70,182,Tatar Tomas,28,Not Injured
1232,C,73,209,Tavares John,28,Not Injured
1233,D,71,181,Taylor  Jeff,25,Not Injured
1234,D,74,205,Tennyson Matt,29,Not Injured
1235,LW,71,191,Teravainen Teuvo,24,Not Injured
1236,LW,70,191,Terry Chris,30,Not Injured
1237,RW,73,175,Terry Troy,21,Injured
1238,D,72,180,Teves Josh,24,Not Injured
1239,C,72,174,Texier Alexandre,19,Not Injured
1240,D,74,195,Theodore Shea,23,Not Injured
1241,D,73,190,Thomas Ben,23,Not Injured
1242,C,72,188,Thomas Robert,20,Injured
1243,C,73,207,Thompson Nate,34,Not Injured
1244,RW,77,205,Thompson Tage,21,Not Injured
1245,LW,75,215,Thomson Ben,26,Not Injured
1246,RW,75,235,Thorburn Chris,36,Not Injured
1247,C,76,220,Thornton Joe,40,Injured
1248,D,73,200,Thrower Josh,23,Not Injured
1249,C,73,195,Tierney Chris,25,Not Injured
1250,D,74,184,Timmins Conor,20,Not Injured
1251,D,78,229,Tinordi Jarred,27,Not Injured
1252,LW,75,196,Tkachuk Brady,19,Injured
1253,LW,74,202,Tkachuk Matthew,21,Not Injured
1254,D,73,191,Toews Devon,25,Not Injured
1255,C,74,201,Toews Jonathan,31,Not Injured
1256,RW,72,197,Toffoli Tyler,27,Not Injured
1257,G,72,204,Tokarski Dustin,29,Not Injured
1258,RW,70,191,Tolvanen Eeli,20,Not Injured
1259,C,74,200,Toninato Dominic,25,Not Injured
1260,RW,75,187,Toropchenko Alexey,20,Not Injured
1261,C,74,201,Trenin Yakov,22,Not Injured
1262,C,70,186,Trocheck Vincent,25,Injured
1263,RW,72,185,Tropp Corey,29,Not Injured
1264,D,75,217,Trotman Zach,28,Not Injured
1265,D,75,202,Trouba Jacob,25,Not Injured
1266,C,77,200,True Alexander,21,Not Injured
1267,RW,76,222,Tuch Alex,23,Not Injured
1268,C,74,196,Turgeon Dominic,23,Not Injured
1269,C,73,190,Turris Kyle,29,Injured
1270,D,75,192,Tyszka Jarret,20,Not Injured
1271,G,76,221,Ullmark Linus,25,Not Injured
1272,C,74,194,Ullstrom David,30,Not Injured
1273,LW,72,200,Upshall Scottie,35,Not Injured
1274,D,73,185,Vaakanainen Urho,20,Injured
1275,D,77,210,Vala Ondrej,21,Not Injured
1276,D,74,188,Valiev Rinat,24,Not Injured
1277,D,74,212,Valimaki Juuso,20,Injured
1278,LW,75,217,van Riemsdyk James,30,Injured
1279,D,74,192,van Riemsdyk Trevor,27,Not Injured
1280,G,73,190,Vanecek Vitek,23,Not Injured
1281,LW,74,214,Vanek Thomas,35,Injured
1282,G,74,205,Varlamov Semyon,31,Injured
1283,C,70,183,Varone Philip,28,Not Injured
1284,G,75,207,Vasilevskiy Andrei,24,Injured
1285,D,70,185,Vatanen Sami,28,Injured
1286,C,69,201,Vatrano Frank,25,Not Injured
1287,C,73,194,Veleno Joe,19,Not Injured
1288,C,70,183,Verbeek Hayden,21,Not Injured
1289,C,73,197,Vermette Antoine,36,Not Injured
1290,RW,72,180,Véronneau Max,23,Not Injured
1291,LW,71,176,Versteeg Kris,33,Not Injured
1292,RW,75,207,Vesalainen Kristian,20,Not Injured
1293,LW,75,199,Vesey Jimmy,26,Not Injured
1294,C,75,205,Vilardi Gabriel,19,Not Injured
1295,RW,73,226,Virtanen Jake,22,Injured
1296,G,77,185,Vladar Daniel,21,Not Injured
1297,D,73,205,Vlasic Marc-Edouard,32,Injured
1298,RW,74,214,Voracek Jakub,29,Injured
1299,C,74,206,Vorobyev Mikhail,22,Not Injured
1300,LW,72,197,Vrana Jakub,23,Not Injured
1301,LW,73,185,Wagner Austin,22,Injured
1302,RW,72,198,Wagner Chris,28,Injured
1303,D,71,161,Walcott Daniel,25,Not Injured
1304,D,74,190,Walford Scott,20,Not Injured
1305,C,69,186,Walker Nathan,25,Not Injured
1306,D,71,196,Walker Sean,24,Injured
1307,C,72,178,Wallmark Lucas,23,Not Injured
1308,D,73,170,Walman Jake,23,Not Injured
1309,G,73,194,Ward Cam,35,Injured
1310,RW,73,225,Ward Joel,38,Not Injured
1311,D,69,170,Warsofsky David,29,Not Injured
1312,LW,76,204,Watson Austin,27,Not Injured
1313,C,70,179,Weal Jordan,27,Not Injured
1314,D,75,198,Webb Reilly,20,Not Injured
1315,D,76,229,Weber Shea,33,Injured
1316,D,71,200,Weber Yannick,30,Injured
1317,G,74,195,Wedgewood Scott,26,Not Injured
1318,D,72,200,Weegar MacKenzie,25,Injured
1319,RW,74,206,Weise Dale,30,Not Injured
1320,D,73,201,Welinski Andy,26,Not Injured
1321,C,74,196,Wennberg Alexander,24,Not Injured
1322,D,74,209,Werenski Zachary,21,Not Injured
1323,G,76,198,Westerholm Niclas,21,Not Injured
1324,G,70,190,Wexler Ben,24,Not Injured
1325,RW,77,225,Wheeler Blake,32,Not Injured
1326,C,72,183,White Colin,22,Injured
1327,D,73,185,White Colton,22,Not Injured
1328,D,70,180,Wideman Chris,29,Injured
1329,G,72,189,Wilcox Adam,26,Not Injured
1330,RW,73,184,Williams Justin,37,Not Injured
1331,C,73,221,Wilson Colin,29,Injured
1332,LW,74,199,Wilson Garrett,28,Not Injured
1333,RW,71,183,Wilson Scott,27,Injured
1334,RW,76,218,Wilson Tom,25,Not Injured
1335,C,72,200,Wingels Tommy,31,Not Injured
1336,LW,74,210,Winnik Daniel,34,Not Injured
1337,D,74,210,Witkowski Luke,29,Not Injured
1338,D,74,185,Wolanin Christian,24,Not Injured
1339,G,75,196,Woll Joseph,20,Not Injured
1340,LW,74,195,Wood Miles,23,Injured
1341,D,74,207,Wotherspoon Tyler,26,Not Injured
1342,D,72,190,Yakovlev Egor,27,Injured
1343,D,72,190,Yakovlev Yegor,27,Not Injured
1344,RW,71,195,Yakupov Nail,25,Not Injured
1345,RW,68,153,Yamamoto Kailer,20,Injured
1346,LW,73,184,Yan Dennis,22,Not Injured
1347,D,73,191,Yandle Keith,32,Not Injured
1348,C,72,185,Zablocki Lane,20,Not Injured
1349,C,75,210,Zacha Pavel,22,Injured
1350,LW,72,196,Zadina Filip,19,Not Injured
1351,D,77,230,Zadorov Nikita,24,Injured
1352,D,74,193,Zaitsev Nikita,27,Not Injured
1353,C,74,185,Zajac Travis,34,Injured
1354,D,72,200,Zboril Jakub,22,Not Injured
1355,C,72,197,Zetterberg Henrik,38,Injured
1356,C,74,213,Zibanejad Mika,26,Not Injured
1357,RW,68,184,Zuccarello Mats,31,Injured
1358,LW,71,183,Zucker Jason,27,Not Injured
1359,C,69,175,Zummack Eli,19,Not Injured
1360,LW,,200,Zykov Valentin,24,Not Injured
